id,separation_type,cease_date,employment_status,career_move_to_public_sector,career_move_to_private_sector,interpersonal_conflicts,job_dissatisfaction,maternity_family,ill_health,gender,age,length_of_service,dataset
246,Retirement,2012.0,Permanent Part-time,False,False,False,False,False,False,Female,56 or older,More than 20 years,dete
247,Retirement,2012.0,Permanent Full-time,False,False,False,False,False,False,Female,51-55,More than 20 years,dete
248,Resignation,2013.0,Permanent Full-time,False,False,False,False,False,False,Female,26-30,5-6,dete
249,Resignation,2012.0,Temporary Full-time,False,False,False,False,False,False,Male,31-35,1-2,dete
250,Contract Expired,2012.0,Permanent Full-time,False,False,False,False,False,False,Female,46-50,1-2,dete
251,Resignation,2013.0,Permanent Full-time,False,False,False,False,False,False,Male,26-30,7-10,dete
252,Retirement,2012.0,Permanent Part-time,False,False,False,False,False,True,Female,56 or older,More than 20 years,dete
253,Retirement,2012.0,Permanent Full-time,False,False,False,False,False,False,Male,56 or older,1-2,dete
254,Retirement,2012.0,Permanent Part-time,False,False,False,False,False,False,Female,51-55,11-20,dete
255,Resignation,2012.0,Permanent Part-time,False,True,False,False,True,False,Female,31-35,11-20,dete
256,Resignation,2012.0,Permanent Part-time,False,True,False,False,False,False,Female,46-50,3-4,dete
257,Resignation,2012.0,Permanent Part-time,False,False,False,False,False,False,Female,46-50,7-10,dete
258,Resignation,2012.0,Temporary Part-time,False,False,False,False,False,False,Female,21-25,Less than 1 year,dete
259,Resignation,2012.0,Permanent Full-time,False,True,False,False,False,False,Female,26-30,5-6,dete
260,Resignation,2012.0,Permanent Full-time,False,False,False,True,False,False,Male,41-45,3-4,dete
261,Retirement,2012.0,Permanent Full-time,False,False,False,False,False,False,Female,56 or older,11-20,dete
262,Retirement,2012.0,Permanent Full-time,False,False,False,False,False,True,Male,56 or older,1-2,dete
263,Resignation,2013.0,Permanent Full-time,False,True,False,False,False,False,Male,36-40,1-2,dete
264,Resignation,2013.0,Permanent Full-time,False,False,False,False,False,False,Female,21-25,3-4,dete
265,Resignation,2012.0,Permanent Part-time,False,False,False,False,True,False,Female,20 or younger,1-2,dete
266,Retirement,2012.0,Permanent Part-time,False,False,False,False,False,False,Male,56 or older,5-6,dete
267,Retirement,2013.0,Permanent Part-time,False,False,False,False,False,False,Female,56 or older,More than 20 years,dete
268,Resignation,2012.0,Permanent Part-time,False,False,False,False,True,False,Female,36-40,1-2,dete
269,Resignation,2012.0,Permanent Full-time,False,False,False,False,True,False,Female,31-35,1-2,dete
270,Resignation,2012.0,Permanent Full-time,False,False,False,False,False,False,Female,26-30,1-2,dete
271,Retirement,2012.0,Permanent Part-time,False,False,False,False,False,False,Female,56 or older,More than 20 years,dete
272,Termination,2012.0,Permanent Full-time,False,False,False,True,False,False,Male,56 or older,More than 20 years,dete
273,Retirement,2012.0,Permanent Full-time,False,False,False,False,False,True,Male,56 or older,More than 20 years,dete
